County;Subcounty;Ward
;Tarbaj;Ongat Rongai
;Taveta;Nkaimurunya
;Teso North;Oloolua
;Teso South;Ngong
;Tetu;Purko
;Tharaka;Ildamat
;Thika Town;Dalalekutuk
;Tiaty;Matapato North
;Tigania East;Matapato South
;Tigania West;Kaputiei North
;Tinderet;Kitengela
;Tongaren;Oloosirkon/Sholinke
;Turbo;Mautuma
;Turkana North;Mjambere
;Turkana Central;Kenyewa-Poka
;Turkana East;Imaroro
;Wajir West;Keekonyokie
;West Mugirango;Oloodokilan
;Westlands;Magadi
;Turkana South;Ewuaso Kedong
;Turkana West;Mosiro
;Ugenya;Entonet/Lengism
;Ugunja;Imbirikani/Esselengei
;Uriri;Kuku
;Vihiga;Rombo
;Wundanyi;Kimana
;Yatta;Lugari
;Voi;Lumakanda
;Wajir East;Chekalini
;Wajir North;Chevaywa
;Wajir South;Luandeti
;Webuye East;Likuyani
;Webuye West;Sango
;;Kongoni
;;Nzoia
;;Sinoko
;;West Kabras
;;Chemuche
;;East Kabras
;;Butali/Chegulo
;;Manda/Shivanga
;;Shirugu/Mugai
;;South Kabras
;;Butsotso East
;;South Butsotso
;;Central Butsotso
;;Shieywe
;;Marenyo/Shianda
;;Marama North
;;Marama South
;;Mahiakalo
;;Shirere
;;Ingotse-Matiha
;;Shinoyi-Shikomari-Esumeiya
;;Bunyala West
;;Bunyala East
;;Bunyala Central
;;Mumias Central
;;Mumias North
;;Etenje
;;Musanda
;;Lusheya/Lubinu
;;Malaha/Isongo/Makunga
;;East Wanga
;;Koyonzo
;;Kholera
;;Khalaba
;;Mayoni
;;Namamali
;;Marama West
;;Marama Central
;;Kisa East
;;Kisa West
;;Kisa Central
;;Isukha North
;;Murhanda
;;Isukha Central
;;Isukha South
;;Tendeno/Sorget
;;Kunyak
;;Kamasian
;;Kipkelion
;;Chilchila
;;Kapsoit
;;Isukha East
;;Isukha West
;;Idakho South
;;Idakho East
;;Idakho North
;;Idakho Central
;;Londiani
