name;pcode;pcode_parent;% adaptive pop. (15-34);Land area;Violent incidents last year;% poor cooking fuel;% primary or higher education;% secondary or higher education;% unemployed;% strong floor type;Gini Index;Drought exposure;Flood exposure;Tsunami exposure;% poor lighting;Population density;Population;Poverty incidence;% strong roof type;% improved sanitation;Travel time to nearest city;% population 65+;% population U5;% strong wall type;% improved water source;Nr. of educational facilities per 10,000 people;Nr. of health facilities per 10,000 people;Total river length;pcode_level2;Violent incidents last year (0-10);Drought exposure (0-10);Flood exposure (0-10);Tsunami exposure (0-10);Hazards exposure;% unemployed (0-10);Gini Index (0-10);% poor lighting (0-10);Poverty incidence (0-10);% population U5 (0-10);Vulnerability;% primary or higher education (0-10);% strong roof type (0-10);% improved sanitation (0-10);Travel time to nearest city (0-10);% strong wall type (0-10);% improved water source (0-10);Nr. of educational facilities per 10,000 people (0-10);Nr. of health facilities per 10,000 people (0-10);Lack of Coping Capacity;Risk score
Gatundu North;KE022112;KE022;0.3171;284.7076;0;0.9778;0.868;0.2688;0.0612;0.4827;0.3261;0.5331;0;0;0.0133;510.9951;145484.1765;0.3134;0.9976;0.9434;383.702;0.0649;0.1473;0.4728;0.6209;1.78713593700932;1.58092794427748;174.528508814421;KE022112;0;8.1493;0;0;3.1273;8.6251;3.9252;0.0989;2.6633;2.1028;4.2712;0.5912;0.0162;0.4362;8.4866;5.265;3.6159;4.3603;8.494;4.7954;4.0983
Gatundu South;KE022111;KE022;0.3151;195.5521;0;0.9657;0.865;0.2889;0.0613;0.5099;0.3221;0.1952;0;0;0.0128;903.2609;176634.6547;0.2629;0.9967;0.6916;486.7201;0.0665;0.1441;0.4127;0.6169;1.58519289765942;1.58519289765942;143.971611459632;KE022111;0;5.1988;0;0;1.6213;8.6218;3.8298;0.0936;2.0679;1.8573;4.1191;0.6266;0.0253;3.0453;8.8974;5.8739;3.6587;4.9975;8.4889;5.3011;3.8331
Gem;KE041235;KE041;0.3071;402.2611;0;0.9906;0.7965;0.1475;0.0493;0.2072;0.365;0.2729;0.0027;0;0.011;523.8299;210716.3858;0.4399;0.6717;0.5536;120.9345;0.0556;0.1996;0.2569;0.4289;0.711857312284207;1.85082901193894;202.765173259323;KE041235;0;6.1818;2.5951;0;2.6265;9.0175;4.8522;0.0744;4.1547;6.1167;5.6129;1.4365;3.3134;4.4752;6.4923;7.4526;5.6712;7.7536;8.171;6.0159;4.9166
Gichugu;KE020101;KE020;0.3477;232.0735;0;0.974;0.8685;0.294;0.028;0.3864;0.2925;0.231;0;0;0.0142;802.5985;186261.7901;0.231;0.9987;0.8388;411.7933;0.0591;0.1289;0.2617;0.6372;1.55694842072562;1.66432417387911;434.602034366;KE020101;0;5.6926;0;0;1.826;9.7197;3.1244;0.1084;1.6918;0.6907;4.5671;0.5852;0.0051;1.52;8.6086;7.404;3.4414;5.0867;8.3942;5.297;4.0419
Kabete;KE022119;KE022;0.4069;59.3587;0;0.835;0.8869;0.4507;0.1004;0.8925;0.2622;0.4301;0;0;0.0102;2433.896;144472.9559;0.2116;0.998;0.8282;25.4724;0.0347;0.1476;0.319;0.779;0.830605280372271;2.00729609423299;42.6757995359803;KE022119;0;7.5181;0;0;2.7323;7.3327;2.4023;0.0659;1.4631;2.1259;3.1736;0.3677;0.0121;1.6299;3.8019;6.8234;1.9236;7.3788;7.9838;4.4665;3.4942
Gilgil;KE032169;KE032;0.334;1353.2717;6.2142;0.9522;0.8034;0.2237;0.0789;0.4046;0.2911;0.2395;0.0008;0;0.015;118.9128;160921.3025;0.3181;0.9665;0.8258;151.0324;0.0406;0.1854;0.3718;0.6963;0.869990473165595;3.04496665607958;249.594577064156;KE032169;7.707;5.7986;1.1659;0;4.4251;8.0415;3.091;0.1169;2.7187;5.0269;4.3798;1.3549;0.3308;1.6548;6.8761;6.2884;2.8088;7.2545;6.742;4.7035;4.5043
Githunguri;KE022116;KE022;0.3398;173.0884;0;0.9403;0.872;0.3526;0.0576;0.6853;0.2916;0.2167;0;0;0.0106;1180.4913;204329.3143;0.1828;0.9951;0.5095;101.3807;0.0622;0.1435;0.34;0.6672;1.02775267867071;1.51715871613296;108.330079164213;KE022116;0;5.5052;0;0;1.7467;8.7438;3.103;0.0702;1.1236;1.8112;3.9043;0.5439;0.0415;4.9321;6.1877;6.6106;3.1203;6.7567;8.5703;5.2379;3.7654
Hamisi;KE038213;KE038;0.2894;185.0244;0;0.9871;0.7999;0.1729;0.094;0.2057;0.3679;0.1818;0.0001;0;0.0182;1107.7918;204968.6037;0.506;0.9536;0.834;85.141;0.0607;0.1908;0.2389;0.4394;1.36606287419772;1.31727491440494;108.706332192186;KE038213;0;4.9904;0.1891;0;1.5798;7.5437;4.9214;0.151;4.934;5.4413;5.0067;1.3963;0.4614;1.5698;5.8861;7.635;5.5588;5.6891;8.8095;5.3331;4.1578
Homa Bay;KE043249;KE043;0.3443;199.1179;16.3753;0.9753;0.8129;0.2175;0.0917;0.4108;0.3704;0.1261;0;0;0.0136;613.3826;122135.5369;0.4873;0.9129;0.3068;173.065;0.0289;0.2114;0.307;0.3603;0.818762520348615;8.67888271569532;80.0706325123742;KE043249;8.5618;3.9197;0;0;4.2137;7.6195;4.9809;0.1021;4.7135;7.0223;5.3835;1.2426;0.8731;7.0324;7.1114;6.945;6.4055;7.4162;0;5.2855;4.9829
Igembe North;KE012053;KE012;0.3398;1167.5305;0;0.9861;0.6889;0.0907;0.0698;0.2612;0.3201;0.7151;0;0;0.0686;157.7343;184159.6317;0.4963;0.965;0.7891;227.1271;0.033;0.1989;0.1161;0.5286;0;1.52042006967598;279.925686792723;KE012053;0;9.0132;0;0;3.7869;8.3416;3.7822;0.6868;4.8196;6.0629;5.2837;2.7087;0.346;2.035;7.5809;8.8793;4.6039;10;8.5664;6.8014;5.424
Igembe South;KE012051;KE012;0.3694;260.152;0;0.9688;0.7523;0.1207;0.034;0.3831;0.3272;0.2606;0;0;0.0463;586.4038;152554.1601;0.3721;0.9696;0.811;214.4469;0.0332;0.1846;0.1419;0.463;0;2.88422157516972;179.808243173082;KE012051;0;6.0464;0;0;1.9814;9.5219;3.9514;0.4497;3.3553;4.9655;5.4563;1.9591;0.2995;1.8081;7.4817;8.6179;5.3061;10;6.9344;6.4458;4.8893
Ijara;KE007032;KE007;0.3213;9815.9075;35.4606;0.9947;0.3;0.0444;0.1836;0.1157;0.3428;0.4823;0.0019;0;0.1223;8.6188;84600.953;0.5919;0.1872;0.1081;636.5664;0.0211;0.1714;0.1467;0.1406;0.118201978243792;2.00943363014447;394.794927617018;KE007032;9.2435;7.8548;2.1119;0;6.1453;4.5895;4.3232;1.2577;5.9467;3.9524;4.1688;7.3067;8.2153;9.0913;9.361;8.5693;8.7572;9.627;7.9812;8.7162;6.7567
Ikolomani;KE037210;KE037;0.301;136.6981;0;0.9905;0.7759;0.1658;0.0946;0.1123;0.3501;0.1951;0.0003;0;0.0188;976.662;133507.8152;0.5351;0.9305;0.8649;94.9657;0.0531;0.1922;0.137;0.5184;0;1.72274559151733;88.6457981211201;KE037210;0;5.1973;0.5204;0;1.7339;7.5239;4.4971;0.1573;5.2771;5.5487;5.0129;1.6801;0.6951;1.2496;6.0747;8.6675;4.7131;10;8.3243;6.4159;4.6598
Kuria East;KE044260;KE044;0.3165;187.9339;0;0.9936;0.762;0.1183;0.0207;0.0901;0.3338;0.4568;0.0003;0;0.0318;416.3002;78236.9166;0.5967;0.5596;0.5947;369.9896;0.0257;0.2318;0.1305;0.2029;1.27816898092907;3.32323935041559;75.4037131944751;KE044260;0;7.6951;0.5204;0;2.9361;9.9604;4.1087;0.2956;6.0033;8.5879;7.0365;1.8444;4.4476;4.0493;8.4237;8.7334;8.0903;5.9664;6.409;6.5022;5.7565
Isiolo North;KE011049;KE011;0.335;15524.7728;16.9534;0.9551;0.5265;0.153;0.0982;0.3545;0.3364;0.2154;0.0002;0;0.3031;7.5989;117970.3887;0.6339;0.7371;0.418;270.7132;0.0359;0.2058;0.664;0.6112;0.423835172183384;3.05161323972036;2147.90334334685;KE011049;8.5924;5.4876;0.3616;0;4.6978;7.4052;4.1706;3.1799;6.4419;6.5925;5.7805;4.6288;2.6518;5.8802;7.8841;3.3276;3.7198;8.6625;6.7341;5.8684;5.4729
Limuru;KE022121;KE022;0.3654;282.8885;5.567;0.9165;0.8569;0.343;0.079;0.7242;0.3478;0.1761;0;0;0.0101;634.9875;179630.664;0.3373;0.9954;0.9544;62.6141;0.0398;0.1584;0.4149;0.7406;0.835046738085886;2.50514021425766;56.4397159092674;KE022121;7.61;4.8971;0;0;3.9121;8.0382;4.4423;0.0649;2.9451;2.9547;4.2615;0.7224;0.0384;0.3222;5.3553;5.8517;2.3346;7.3648;7.388;4.306;4.1621
Isiolo South;KE011050;KE011;0.3373;9830.0549;26.7572;0.9931;0.412;0.0668;0.1066;0.0614;0.2886;0.3645;0.0003;0;0.2881;3.8019;37373.198;0.8027;0.516;0.3565;357.9461;0.0409;0.1869;0.5054;0.5621;1.33785714528956;4.28114286492659;1684.44889090704;KE011050;8.9951;7.0318;0.5204;0;5.4656;7.1283;3.0315;3.0204;8.432;5.142;5.8157;5.9825;4.8887;6.5175;8.3666;4.9346;4.2453;5.7781;5.2627;5.9141;5.7352
Jomvu;KE001002;KE001;0.4607;37.735;0;0.8761;0.826;0.3472;0.1525;0.675;0.363;0.0427;0.0251;0;0.0139;3550.8799;133991.8976;0.3279;0.9545;0.8032;28.0706;0.012;0.1732;0.6589;0.8276;0.522419648312353;1.64189032326739;5.26100831204911;KE001002;0;0.7743;6.4702;0;2.3386;5.6149;4.8046;0.1053;2.8342;4.0906;3.7126;1.0877;0.4522;1.8889;3.9696;3.3793;1.4033;8.3514;8.4211;4.4404;3.546
Juja;KE022113;KE022;0.4223;323.1584;0;0.8225;0.8807;0.4068;0.0714;0.8486;0.3064;0.1667;0.0003;0;0.0145;275.6383;89074.8389;0.198;0.9951;0.8073;143.59;0.0176;0.1571;0.8651;0.6875;1.23491663168451;7.52176493844202;197.610381014177;KE022113;0;4.7364;0.5204;0;1.5562;8.2888;3.4557;0.1116;1.3028;2.855;3.9189;0.441;0.0415;1.8464;6.7889;1.2899;2.903;6.1029;1.3847;3.0088;2.8843
Kabondo Kasipul;KE043246;KE043;0.3106;244.1253;0;0.9908;0.8;0.1785;0.0616;0.235;0.3514;0.1454;0.0007;0;0.0144;554.2982;135318.252;0.5132;0.8984;0.6054;155.2571;0.0416;0.2158;0.2787;0.2992;2.29089568738497;2.06919610473482;78.4344154210218;KE043246;0;4.3362;1.0525;0;1.5339;8.6119;4.5281;0.1106;5.0189;7.3599;5.8228;1.3951;1.0198;3.9385;6.9238;7.2317;7.0595;2.7705;7.9097;5.3369;4.4734
Kabuchai;KE039218;KE039;0.3218;230.9497;0;0.9925;0.8241;0.2157;0.0263;0.1501;0.3295;0.3034;0;0;0.0143;664.7358;153520.5055;0.5018;0.8462;0.8343;174.2616;0.0337;0.2182;0.2399;0.803;0.977068174063753;1.36789544368925;70.9898636016964;KE039218;0;6.4928;0;0;2.1896;9.7758;4.0062;0.1095;4.8845;7.5441;6.401;1.1102;1.548;1.5667;7.1233;7.6249;1.6667;6.9166;8.749;5.3656;4.8843
Kacheliba;KE024131;KE024;0.303;3936.2834;0;0.9955;0.153;0.0228;0.0912;0.0382;0.2325;0.2206;0.0005;0;0.8458;23.0678;90801.5162;0.7739;0.0751;0.0333;534.7051;0.0193;0.2241;0.0647;0.3283;0.220260639250027;2.86338831025035;598.262079002796;KE024131;0;5.5575;0.8043;0;1.9425;7.636;1.6945;8.9496;8.0924;7.9969;7.442;9.0447;9.3495;9.8663;9.0598;9.4001;6.748;9.3049;6.9593;8.9257;6.9219
Kaiti;KE017085;KE017;0.3007;423.1389;0;0.9923;0.8324;0.2079;0.0704;0.4999;0.3202;0.0556;0;0;0.0143;414.1374;175237.5964;0.4763;0.9472;0.5955;181.5138;0.062;0.1697;0.8431;0.1701;1.42663449523249;2.22554981256269;247.397423371062;KE017085;0;1.5364;0;0;0.4058;8.3218;3.7846;0.1095;4.5838;3.8219;4.7159;1.0121;0.5261;4.041;7.1937;1.5128;8.4414;5.4979;7.7226;5.2239;3.7244
Kandara;KE021109;KE021;0.3091;233.7798;0;0.9789;0.8724;0.2426;0.0718;0.3824;0.3492;0.3403;0;0;0.0162;1015.2867;237353.5015;0.3443;0.9893;0.5715;168.8286;0.074;0.1479;0.4261;0.3091;1.22180628583541;1.60098754695674;158.811883009876;KE021109;0;6.8299;0;0;2.3571;8.2756;4.4757;0.1297;3.0276;2.1489;4.2715;0.5391;0.1002;4.2897;7.0685;5.7382;6.9535;6.1443;8.47;5.5305;4.172
Kajiado Central;KE034184;KE034;0.322;4259.5976;0;0.9643;0.5207;0.1389;0.0873;0.3844;0.2963;0.2542;0.0006;0;0.0352;26.0457;110944.0266;0.5188;0.5324;0.3125;412.8492;0.0271;0.2244;0.3256;0.6448;0.991490965057433;4.41664157161947;1076.49343449486;KE034184;0;5.9734;0.9323;0;2.1473;7.7646;3.215;0.3317;5.0849;8.02;5.5527;4.6973;4.7228;6.9734;8.613;6.7565;3.3601;6.8711;5.1006;6.1545;4.8371
Kajiado East;KE034186;KE034;0.3288;7510.8728;0;0.9355;0.5244;0.154;0.0645;0.3338;0.2801;0.4482;0.0008;0;0.0743;15.9426;119742.7731;0.5538;0.542;0.3416;374.6371;0.0277;0.2182;0.2155;0.5112;1.33619754982431;5.59532723988928;968.154697394864;KE034186;0;7.6393;1.1659;0;3.0309;8.5163;2.8289;0.7474;5.4975;7.5441;5.7425;4.6536;4.6257;6.6718;8.4453;7.8721;4.7902;5.7833;3.6901;6.0944;5.0961
Kajiado North;KE034183;KE034;0.4653;108.9876;0;0.6813;0.8877;0.489;0.0903;0.8903;0.2942;0.3038;0;0;0.0146;1650.9724;179935.6773;0.1834;0.9963;0.8214;31.2485;0.0148;0.1561;0.5792;0.7657;1.33380996788004;3.11222325838675;68.4545239669382;KE034183;0;6.4967;0;0;2.1915;7.6657;3.1649;0.1127;1.1306;2.7782;3.5299;0.3582;0.0293;1.7003;4.1549;4.1868;2.0659;5.7908;6.6615;3.4746;3.0883
Khwisero;KE037208;KE037;0.2835;152.0386;0;0.9932;0.7892;0.1438;0.0694;0.1145;0.3253;0.3315;0.0012;0;0.0157;932.8593;141830.643;0.5983;0.842;0.8431;98.3379;0.057;0.2009;0.155;0.5625;0.634559627658821;1.90367888297646;57.3274928161105;KE037208;0;6.753;1.5639;0;2.6452;8.3548;3.9061;0.1244;6.0222;6.2164;5.5259;1.5228;1.5904;1.4755;6.135;8.4852;4.2411;7.9975;8.1078;5.6969;4.7615
Kajiado South;KE034187;KE034;0.3174;6415.6184;0;0.984;0.5741;0.1041;0.0868;0.2805;0.308;0.5169;0.0008;0;0.0589;22.6943;145598.2669;0.5079;0.584;0.4237;389.2741;0.0294;0.2208;0.1006;0.5708;0.480774954104481;3.09069613352881;841.723532647108;KE034187;0;8.0585;1.1659;0;3.2868;7.7811;3.4938;0.5837;4.9564;7.7437;5.5056;4.066;4.2007;5.8212;8.5115;9.0364;4.1522;8.4828;6.6873;6.8321;5.3858
Kajiado West;KE034185;KE034;0.412;3591.2745;0;0.9045;0.7608;0.289;0.0902;0.6246;0.34;0.5367;0.0002;0;0.0205;26.6354;95654.8767;0.2889;0.8474;0.6038;220.2218;0.0218;0.1807;0.4169;0.731;1.14996750785102;4.70441253211779;1423.11560970449;KE034185;0;8.1691;0.3616;0;3.2064;7.669;4.2564;0.1754;2.3744;4.6662;4.3121;1.8586;1.5358;3.955;7.5276;5.8314;2.4374;6.371;4.7562;4.6246;4.0731
Kaloleni;KE003013;KE003;0.3062;686.733;5.4237;0.978;0.5963;0.1035;0.0871;0.2434;0.4745;0.1973;0;0;0.0145;268.4831;184376.2526;0.5475;0.4952;0.4124;157.1156;0.044;0.2154;0.3282;0.2862;0;2.00676602654517;226.035352141966;KE003013;7.587;5.2302;0;0;3.9989;7.7712;7.4619;0.1116;5.4232;7.3292;6.1908;3.8035;5.0992;5.9382;6.9444;6.7302;7.1987;10;7.9844;7.1856;5.9513
Kamukunji;KE047288;KE047;0.5128;9.0506;2.5864;0.8322;0.762;0.396;0.2044;0.8623;null;1;0;0;0.0126;42717.9982;386631.3171;0.1398;0.9961;0.9673;8.2206;0.0138;0.1403;0.6999;0.8985;0.129322167647447;1.24149280941549;0;KE047288;6.9338;10;0;0;6.2185;3.9037;null;0.0914;0.6166;1.5656;1.6667;1.8444;0.0314;0.1886;1.8486;2.9638;0.6444;9.5919;8.9002;4.6666;4.4333
Kanduyi;KE039220;KE039;0.3532;319.3108;0;0.9674;0.8304;0.2609;0.0703;0.3481;0.377;0.2121;0.0027;0;0.0237;795.2689;253937.8898;0.4747;0.8848;0.8142;98.4987;0.0244;0.2054;0.4165;0.7937;0.393797081966371;1.81146657704531;100.149010155959;KE039220;0;5.4423;2.5951;0;2.3247;8.3251;5.1382;0.2094;4.565;6.5618;5.5326;1.0357;1.1574;1.7749;6.1378;5.8354;1.7662;8.7573;8.2181;5.1647;4.4809
Kangema;KE021104;KE021;0.3098;174.9338;0;0.9799;0.8652;0.2567;0.0377;0.3761;0.3197;0.1429;0;0;0.0114;694.9278;121566.3174;0.2597;0.9935;0.9855;400.0813;0.0811;0.1345;0.2457;0.496;2.05649068955983;2.79682733780137;179.422164633152;KE021104;0;4.2855;0;0;1.2743;9.3999;3.7726;0.0787;2.0302;1.1205;4.5063;0.6243;0.0577;0;8.5588;7.5661;4.9529;3.5102;7.039;4.8978;3.7205
Kangundo;KE016077;KE016;0.3214;178.4998;0;0.9847;0.8629;0.3031;0.0591;0.6018;0.3328;0.1993;0;0;0.015;783.1195;139786.6696;0.4867;0.9872;0.6731;126.2355;0.0662;0.1565;0.9924;0.4277;1.64536433010166;1.57382675053202;126.766558106299;KE016077;0;5.2598;0;0;1.6459;8.6944;4.0848;0.1169;4.7064;2.8089;4.8108;0.6515;0.1214;3.237;6.5664;0;5.684;4.8076;8.5025;4.4074;3.7445
Kiambaa;KE022118;KE022;0.4206;80.6892;0;0.8092;0.8825;0.4226;0.1168;0.8758;0.3025;0.1771;0;0;0.009;2035.6403;164254.4432;0.1965;0.997;0.9215;21.8353;0.0308;0.1528;0.4136;0.7848;1.03497961265501;1.76555345688207;59.4044299788718;KE022118;0;4.9137;0;0;1.5089;6.792;3.3627;0.0532;1.2851;2.5249;3.1881;0.4197;0.0223;0.6631;3.5358;5.8648;1.8615;6.7339;8.2731;4.1277;3.0119
Kiambu;KE022117;KE022;0.4039;108.2365;0;0.7635;0.8816;0.3975;0.0964;0.8675;0.3064;0.2406;0;0;0.0116;1380.5469;149425.7104;0.2222;0.9924;0.8122;25.5578;0.0329;0.1466;0.5397;0.7493;0.803074649891348;3.01152993709256;84.0535019468234;KE022117;0;5.8121;0;0;1.8776;7.4646;3.4557;0.0808;1.5881;2.0491;3.4395;0.4304;0.0688;1.7957;3.8077;4.5871;2.2415;7.4657;6.782;3.8981;3.1166
Kibra;KE047278;KE047;0.4621;11.2442;8.6728;0.7476;0.888;0.42;0.1253;0.7613;null;null;null;null;0.0103;30764.397;345908.9147;0.2834;0.9952;0.8057;8.0429;0.0095;0.1473;0.696;0.8242;0.231274756466802;1.76347001805936;0;KE047278;8.0011;null;null;null;8.0011;6.5117;null;0.067;2.3096;2.1028;3.1448;0.3547;0.0405;1.863;1.8108;3.0033;1.4397;9.2702;8.2756;4.3843;5.608
Kapenguria;KE024129;KE024;0.3229;1821.921;0;0.9876;0.5986;0.1158;0.0813;0.2754;0.2841;0.3264;0.0008;0;0.2926;86.0237;156728.4271;0.5708;0.5022;0.4618;198.0586;0.0283;0.2279;0.2697;0.2338;0.574241710178465;2.42457610964241;585.603791847945;KE024129;0;6.7074;1.1659;0;2.5361;7.9624;2.9242;3.0683;5.6979;8.2886;6.0975;3.7763;5.0283;5.4264;7.3444;7.3229;7.7596;8.1878;7.4844;6.7595;5.3918
Kapseret;KE027145;KE027;0.4083;353.1819;0;0.9346;0.8425;0.3429;0.1068;0.5399;0.3112;0.0843;0.0002;0;0.0108;341.3221;120548.8307;0.2387;0.9551;0.802;46.2845;0.0245;0.1777;0.4631;0.8113;0.66363148931888;2.40566414878094;112.724499889877;KE027145;0;2.7448;0.3616;0;0.8461;7.1217;3.5701;0.0723;1.7826;4.4359;3.8147;0.8926;0.4462;1.9014;4.8334;5.3633;1.5778;7.9057;7.5071;4.4261;3.1705
Karachuonyo;KE043247;KE043;0.3212;439.8253;5.1104;0.9923;0.8174;0.1927;0.1047;0.2527;0.3364;0.1836;0.0106;0;0.0141;444.8991;195677.8993;0.4532;0.9291;0.5974;157.8441;0.0451;0.2028;0.2883;0.1867;1.37981857468962;2.19748884117236;235.846496996017;KE043247;7.5345;5.0193;4.8617;0;4.8744;7.1909;4.1706;0.1074;4.3115;6.3622;4.8441;1.1894;0.7092;4.0213;6.9523;7.1345;8.2638;5.6456;7.7562;5.8014;5.1906
Kasarani;KE047280;KE047;0.4596;140.0708;0;0.6364;0.899;0.518;0.0946;0.9127;null;0.3181;0.0001;0;0.0146;897.5865;125725.3663;0.2174;0.9975;0.896;39.4589;0.0092;0.156;0.8557;0.881;0.556769107796751;3.73830686663533;61.5055891684351;KE047280;0;6.6318;0.1891;0;2.2954;7.5239;null;0.1127;1.5315;2.7705;3.6181;0.2246;0.0172;0.9274;4.5578;1.3851;0.8317;8.243;5.9123;3.4381;3.138
Kasipul;KE043245;KE043;0.329;263.2284;0;0.9854;0.8158;0.2103;0.0665;0.3098;0.3639;0.1226;0;0;0.0117;537.8483;141576.9561;0.4942;0.9344;0.6346;167.5435;0.038;0.2119;0.3361;0.5031;1.7658240918302;2.26025483754266;121.433766169187;KE043245;0;3.8375;0;0;1.1167;8.4504;4.826;0.0819;4.7949;7.0606;5.6815;1.2083;0.6556;3.6359;7.0553;6.6501;4.8769;4.4275;7.6811;4.9782;4.1812
Kathiani;KE016079;KE016;0.3138;209.117;0;0.9869;0.8451;0.2184;0.0614;0.5263;0.3026;0.0326;0;0;0.0153;721.0126;150776.0004;0.3058;0.9889;0.4895;177.5338;0.0576;0.1682;0.9738;0.3087;1.06117684188371;1.26014749973691;144.421820631937;KE016079;0;0;0;0;0;8.6185;3.3651;0.1201;2.5737;3.7068;4.4197;0.8619;0.1042;5.1394;7.1554;0.1885;6.9578;6.6512;8.8779;5.3556;3.5755
Keiyo North;KE028149;KE028;0.3567;540.2559;0;0.9886;0.8341;0.2315;0.0581;0.3482;0.3188;0.3996;0.0008;0;0.0787;158.4165;85585.4294;0.3396;0.7;0.3489;139.9088;0.0348;0.1845;0.2056;0.6038;0.934738548744608;2.4536886904546;139.741269521867;KE028149;0;7.3019;1.1659;0;2.8414;8.7273;3.7512;0.7942;2.9722;4.9578;4.9242;0.992;3.0271;6.5962;6.744;7.9724;3.799;7.0502;7.4496;5.8921;4.6716
Keiyo South;KE028150;KE028;0.3275;898.1771;0;0.9892;0.816;0.1972;0.0446;0.2708;0.285;0.2405;0.0001;0;0.0747;149.452;134234.3283;0.5023;0.7669;0.601;219.271;0.0397;0.1923;0.0872;0.4172;1.04295228912127;2.75637390696335;493.219028645213;KE028150;0;5.8109;0.1891;0;1.9166;9.1724;2.9457;0.7516;4.8904;5.5564;5.4791;1.206;2.3503;3.984;7.5201;9.1722;5.7964;6.7087;7.0874;6.0878;4.7276
Kesses;KE027146;KE027;0.3762;643.903;0;0.9338;0.8307;0.2964;0.0728;0.4129;0.3147;0.1398;0;0;0.0146;252.3957;162518.3609;0.3787;0.9256;0.6183;90.7264;0.0312;0.1795;0.2991;0.7125;1.35369319926018;2.15360281700483;231.698043191132;KE027146;0;4.2213;0;0;1.2513;8.2427;3.6535;0.1127;3.4332;4.5741;4.5882;1.0322;0.7446;3.8048;5.9959;7.025;2.6354;5.7281;7.8087;4.836;3.7211
Kibwezi East;KE017088;KE017;0.3135;2735.311;0;0.9893;0.8178;0.1721;0.0869;0.4202;0.3431;0.4115;0.0002;0;0.0131;63.3484;173277.5714;0.7484;0.866;0.6201;402.4257;0.0428;0.1916;0.714;0.7072;1.09650659624798;2.36614581295616;418.565661884752;KE017088;0;7.3882;0.3616;0;2.7272;7.7778;4.3303;0.0967;7.7918;5.5027;5.7011;1.1847;1.3476;3.7861;8.5689;2.821;2.6921;6.5397;7.5544;4.9605;4.577
Kibwezi West;KE017087;KE017;0.3299;1711.8759;0;0.9815;0.8224;0.2011;0.0822;0.4595;0.3806;0.3109;0.001;0;0.0172;109.979;188270.3924;0.6398;0.881;0.6015;272.1006;0.0407;0.1825;0.747;0.5985;0.849841539407027;3.61182654247986;451.868553310849;KE017087;0;6.5645;1.3749;0;2.5131;7.9327;5.224;0.1403;6.5114;4.8043;5.4229;1.1303;1.1959;3.9789;7.8929;2.4866;3.8557;7.3181;6.0637;4.7381;4.331
Kieni;KE019095;KE019;0.348;1736.7572;0;0.9694;0.8719;0.2949;0.0438;0.34;0.3305;0.1748;0;0;0.0244;130.2185;226157.9811;0.2724;0.9826;0.6222;307.2562;0.0478;0.1471;0.123;0.6887;1.23807260183693;3.67000092687377;1177.34845908499;KE019095;0;4.8754;0;0;1.4941;9.1988;4.03;0.2169;2.1799;2.0875;4.5794;0.545;0.1679;3.7644;8.1028;8.8094;2.8902;6.093;5.9941;5.3335;3.9781
Kigumo;KE021107;KE021;0.3148;323.8187;0;0.9842;0.8732;0.2449;0.0286;0.3115;0.3319;0.2055;0;0;0.0103;569.3445;184364.3491;0.3413;0.9894;0.3565;398.878;0.0707;0.1479;0.2931;0.426;1.73569348792746;1.4644913804388;215.372752681594;KE021107;0;5.3496;0;0;1.6824;9.7;4.0634;0.067;2.9922;2.1489;5.0781;0.5297;0.0992;6.5175;8.5536;7.0858;5.7022;4.5226;8.6334;5.9719;4.4743
Kiharu;KE021106;KE021;0.3078;408.3477;0;0.9694;0.8643;0.2517;0.0439;0.3767;0.3287;0.2974;0.0017;0;0.0124;658.424;268865.8131;0.3347;0.9957;0.9549;263.1937;0.0782;0.1397;0.4782;0.3581;1.30176460890874;2.75230231597849;206.451785910844;KE021106;0;6.4342;1.9702;0;2.5876;9.1955;3.9871;0.0893;2.9144;1.5196;4.5864;0.6349;0.0354;0.3171;7.8355;5.2103;6.429;5.892;7.0923;4.8448;4.074
Kikuyu;KE022120;KE022;0.3984;176.4974;0;0.8012;0.8829;0.423;0.1063;0.7917;0.292;0.5845;0;0;0.0104;860.9618;151957.5219;0.2751;0.9992;0.8498;53.9758;0.0362;0.1474;0.3847;0.8136;0.85550223761944;2.76393030615511;14.5697930124304;KE022120;0;8.42;0;0;3.3164;7.1381;3.1125;0.068;2.2117;2.1105;3.3527;0.415;0;1.4061;5.0989;6.1577;1.5532;7.3003;7.0783;4.2267;3.6441
Kilgoris;KE032177;KE032;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;729.198128722834;KE032177;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Kilifi North;KE003011;KE003;0.3422;523.5335;0;0.9634;0.6766;0.1403;0.0867;0.3258;0.5118;0.0877;0.001;0.0014;0.0144;414.7124;217115.8368;0.5558;0.385;0.4376;154.7855;0.0327;0.2018;0.413;0.9043;0.506641991881322;2.76350177389812;36.2276845095514;KE003011;0;2.86;1.3749;4.6771;2.4058;7.7844;8.3508;0.1106;5.5211;6.2855;6.2462;2.8541;6.2141;5.6771;6.9185;5.8709;0.5823;8.4012;7.0789;5.8863;5.0627
