Event,County,Date,Location,Deaths ,Injured ,Missing ,Houses Destroyed ,Houses Damaged ,Directly affected ,Indirectly Affected ,Relocated ,Evacuated ,Losses $USD ,Losses $Local ,Education centers ,Hospitals ,Damages in crops Ha. ,Lost Cattle ,Lost Goats,Lost Livestock,Damages in roads Mts ,GLIDEnumber ,Comments,Unique_ID,Unique_MA-DB,Comments_2
FLOOD, MARSABIT,30/03/2013, Marsabit,3, ,1, , , ,, , ,,, ,, ,,,, , , , ,,
FLOOD, TANA-RIVER,20/03/2013, Madogo,3, , ,1,, ,5, , ,,, ,, ,,,, , ,A manyatta was destroyed by raging waters with the 3 deaceased inside , ,,
FLOOD, KISUMU,07/04/2013, Nyando, , , , ,165, ,825, , ,,,,, ,,,,, ,People forced to seek refuge on higher grounds to escape rising waters , ,,
FLOOD, GARISSA,07/04/2013, Gaissa, , , , , , ,1000, , ,,,, , ,,,, , ,people forced to abandon their homesteads due to floods and seek refuge on higher grounds , ,,
FLOOD, NAROK,07/04/2013, Mulot,1, , , , , , , , ,,, ,, ,,,, , ,Victim was swept away while trying to cross stream , ,,
FLOOD, NAROK,02/04/2013, Doroboni River,4,2, , , , , , , ,,, ,, ,,,,, ,people were swept away while traveling in a vehichle , ,,
FLOOD, NAROK,04/03/2013, Masurura (Transmara),1,1, , , , , , , ,,, , , ,,,,, ,Drowning occured after a pickup was swept away , ,,
FLOOD, NAROK,03/04/2013, Naikara area,1,1, , , , , , , ,,, ,, ,,,, , ,One male aged 14 years survived , ,,
FLOOD, NAROK,13/04/2013, Ololunga Narok South,10, ,2, , , ,, , ,,,1,, ,,,, , ,Two pupils from Leshuta primary school were swept away , ,,
FLOOD, KAJIADO,13/04/2013, Ole Polos River,1, , , , , ,, , ,,, ,, ,,,, , ,Body retrieved 500 metres downstream , ,,
FLOOD, KAJIADO,29/03/2013, Ngong,1, , , , , ,, , ,,, ,, ,,,, , ,swept away by running waters after heavy downpour , ,,
FLOOD, NAIROBI,29/03/2013, CBD, ,2, , , , ,, , ,,, ,, ,,,, , ,2 people almost drowned in running waters , ,,
FLOOD, NAIROBI,29/03/2013, Ngoro,4, ,1, , , ,, , ,,, ,, ,,,, , ,The Deaceased were swept away by flooding waters.  , ,,
FLOOD, NAIROBI,29/03/2013, Kawangware,1, , , , , ,, , ,,, ,, ,,,, , ,Body retrieved and taken to Chiromo mortuary , ,,
FLOOD, NAIROBI,13/12/2015, Ruai,1, , , , , ,, , ,,, ,, ,,,, , ,Body retrieved , ,,
FLOOD, KAJIADO,10/11/2015, Kajiado North,1, , , , , ,, , ,,, ,, ,,,,, ,Murram roads were destroyed. , ,,
FLOOD, GARISSA,05/10/2015, LAGDERA, , , , , , , , , ,,, , ,,,,, , ,Unknown number of livestock died.  , ,,
FLOOD, NAKURU,13/05/2012, NGONDI TRADING CENTRE,1, , , , , , , , ,,, , , ,,,, , , , ,,
FLOOD, MIGORI,04/03/2012, RAPOGI AREA,2, , , , , , , , ,,, , , ,,,, , , , ,,
FLOOD, TANA-RIVER,30/05/2012, Dobale, , , ,193, , , ,, ,,,,,,,,, , ,193 household affected. , ,,
FLOOD, TANA-RIVER,30/05/2012, Gelwa Marembo, , , ,54, , , ,, ,,,,,,,,, , ,54 household affected. , ,,
FLOOD, TANA-RIVER,30/05/2012, Kiomo Ngumu, , , ,35, , , ,, ,,,,,,,,, , ,35 household affected. , ,,
FLOOD, TANA-RIVER,30/05/2012, Miyesa, , , ,147, , , ,, ,,,,,,,,, , ,147 household affected. , ,,
FLOOD, TANA-RIVER,30/05/2012, Bilisa-Korlabe C, , , ,180, , , ,, ,,,,,,,,, , ,180 household affected. , ,,
FLOOD, TANA-RIVER,30/05/2012, Bilisa-Korlabe B, , , ,165, , , ,, ,,, , , ,,,, , ,165 Household affected. , ,,
FLOOD, TANA-RIVER,30/05/2012, Bilisa-Korlabe A, , , ,176, , , ,, ,,,,,,,,, , ,176 household affected. , ,,
FLOOD, TANA-RIVER,30/05/2012, Galili-Tianaga, , , ,41, , , ,, ,,,,,,,,, , ,41 household affected. , ,,
FLOOD, TANA-RIVER,30/05/2012, Galili-Wolkon, , , ,91, , , ,, ,,,,,,,,, , ,91 household were affected. , ,,
FLOOD, TANA-RIVER,30/05/2012, Galili-Ferry, , , ,, , , ,, ,,,,,,,,, , , , ,,
FLOOD, TANA-RIVER,30/05/2012, Shirikisho-Umoja, , , ,, , , ,, ,,,,,,,,, , , , ,,
FLOOD, TANA-RIVER,30/05/2012, Shirikisho-Matomba, , , ,, , , ,, ,,,,,,,,, , , , ,,
FLOOD, TANA-RIVER,30/05/2012, Shirikisho-Matomba, , , ,, , , ,, ,,,,,,,,, , , , ,,
FLOOD, TANA-RIVER,30/05/2012, Shirikisho-Matomba, , , ,, , , ,, ,,,,,,,,, , , , ,,
FLOOD, TANA-RIVER,30/05/2012, Ndera-Bahati C, , , ,, , , ,, ,,,,,,,,, , , , ,,
FLOOD, TANA-RIVER,30/05/2012, Ndera-Bahati B, , , ,, , ,,, ,,,,,,,,, , , , ,,
FLOOD, TANA-RIVER,30/05/2012, Ndera-Bahati A, , , ,, , ,,, ,,,,,,,,, , , , ,,
FLOOD, TANA-RIVER,30/05/2012, Ndera-Balatiro, , , ,, , , ,, ,,,,,,,,, , , , ,,
FLOOD, TANA-RIVER,30/05/2012, Mwina-Salama B, , , ,30, , , ,, ,,,,,,,,, , ,30 household affected. , ,,
FLOOD, TANA-RIVER,30/05/2012, Mwina-Lazima A, , , ,70, , , ,, ,,,,,,,,, , ,70 House hold were affected , ,,
FLOOD, TANA-RIVER,30/05/2012, Mwina-Hakani, , , ,, , , ,, ,,,,,,,,, , , , ,,
FLOOD, TANA-RIVER,30/05/2012, Mwina (Huluba), , , ,112, , , , , ,,,,,,,,, , ,112 house hold affected. , ,,
FLOOD, TANA-RIVER,30/05/2012, Mwina (Tulichani), , , ,98, , ,, , ,,,,,,,,, , ,98 household affected. , ,,
FLOOD, TANA-RIVER,30/05/2012, Mwina (Fejji), , , ,48, , ,, , ,,,,, ,,,,, ,48 household affected , ,,
FLOOD, TANA-RIVER,30/05/2012, Mwina (Eskadek), , , ,86, , ,, , ,,,,,,,,, , ,86 household affected. , ,,
FLOOD, TANA-RIVER,30/05/2012, Mwina (Hada), , , , , , ,, , ,,,,,,,,, , , , ,,
FLOOD, TANA-RIVER,30/05/2012, Mwina (chelwa), , , , , , ,, , ,,,,,,,,, , , , ,,
FLOOD, TANA-RIVER,30/05/2012, Mwina (senangu), , , ,160, , ,, , ,,,,,,,,, , ,110 household were affected , ,,
FLOOD, TANA-RIVER,30/05/2012, Mwina (Godhey), , , ,110, , ,, , ,,,,,,,,, , ,110 household were affected. , ,,
FLOOD, TANA-RIVER,30/05/2012, Mwina (Bora Imani), , , ,48, , ,, , ,,,,,,,,, , ,48 household were affected. , ,,
FLOOD, HOMA BAY,19/04/2012, Central Kabuoch Location,1, , , , , , , , ,,, , , ,,,, , , , ,,
FLOOD, KISUMU,19/04/2012, River Awach Tende, , , , ,68, ,441, , ,,, , , ,,,, , , , ,,
FLOOD, MACHAKOS,06/05/2012, Lower Yatta District, , , , , , , , ,1,,, , , ,,,, , ,one person marooned by water , ,,
FLOOD, NAIROBI,04/05/2012, Ruai, , , , , , ,100, , ,,, , , ,,,, , ,100 people were marooned with floods , ,,
FLOOD, KAJIADO,04/05/2012, River Lelempe along Magadi RD,3, , , , , , , , ,,, , , ,,,, , , , ,,
FLOOD, MACHAKOS,04/05/2012, Athi River, , , ,, , , , , ,,, , , ,,,,, ,"several houses were submerged,four families displaced and thirteen households marooned ", ,,
FLOOD, KAJIADO,24/04/2012, Intilal location, , , ,, , , , , ,,, , , ,,,, , ,100 homesteads with all the properties were swept , ,,
FLOOD, NAKURU,28/04/2012, Munyu village Mai-Mahiu location,2, , , , , , , , ,,, , , ,,,, , , , ,,
FLOOD, MOMBASA,01/06/2008, Changamwe and Kisima Cha zamani Areas, , , , ,, ,, , ,,, , ,,,,, , , , ,,
FLOOD, MOMBASA,01/06/2008," Likoni, Miritini, Port Reitz", , , , ,13, ,585, , ,,, , ,,,,, , , , ,,
FLOOD, NAIROBI,22/12/2009, Makadara, , , , ,33, ,,, ,,,, , ,,,, ,FL-2010-000003-KEN , , ,,
FLOOD, NAIROBI,22/12/2009, Kibera, , , ,60,, ,,, ,,,,, ,,,, ,FL-2010-000003-KEN , , ,,
FLOOD, KITUI,06/01/2010, Mutomo, , , ,6,, ,,, ,,, , ,,,,, ,FL-2010-000003-KEN , , ,,
FLOOD, NAROK,06/01/2010, Oloipito, , , ,75,, ,,, ,,,,,,,,,,FL-2010-000003-KEN ,60 Households were displaced , ,,
FLOOD, TANA-RIVER,21/10/2009, Kipini, , , ,,, ,,,,,,,,,,,,, , , ,,
FLOOD, KISUMU,21/10/2009," Kigoche, Sande Magare", , , ,,, ,,,,,,,,,,,,, ,216 families were affected , ,,
FLOOD, TAITA-TAVETA,01/11/2008, Kimorigo, , , , , , , , , ,,, , , ,,,, ,FL-2008-000217-KEN , , ,,
FLOOD, TRANS-NZOIA,01/05/2009, Namanjalala, , , ,500,, ,,, ,,,,,,,,,,FL-2008-000217-KEN , , ,,
FLOOD, TURKANA,01/05/2009, Katilu, , , ,,, ,,, ,,,,,,,,,,FL-2008-000217-KEN , , ,,
FLOOD, WEST POKOT,01/05/2009, Sigor, , , ,367,, ,,,,,,,, ,,,,,FL-2008-000217-KEN , , ,,
FLOOD, BUSIA,01/05/2009, Budalangi, , , ,,, ,,, ,,,,,,,,,,FL-2008-000217-KEN ,1000 families were affected , ,,
FLOOD, SIAYA,01/05/2009, Usonga, , , ,,, ,400,,,,,,,,,,,,FL-2008-000217-KEN , , ,,
FLOOD, MIGORI,01/05/2009," Onyodhi village - Bala, Lwanda Konyango Trading Centre", , , ,177,, ,,,,,,,,,,,,,FL-2008-000217-KEN , , ,,
FLOOD, TANA-RIVER,25/05/2010, Choa, , , ,82,, ,548,,,,,,,,,,,,DR-2009-000197-KEN ,People affected are located in the relocation camps , ,,
FLOOD, TANA-RIVER,25/05/2010, Baomo, , , ,138,, ,1051,,,,,,,,,,,,DR-2009-000197-KEN ,People affected are located in the relocation camps , ,,
FLOOD, TANA-RIVER,25/05/2010, Umoja/ Minjila, , , ,127,, ,734,,,,,,,,,,,,DR-2009-000197-KEN ,People affected are located in the relocation camps , ,,
FLOOD, TANA-RIVER,25/05/2010, Mikameni, , , ,86,, ,762,,,,,,,,,,,,DR-2009-000197-KEN ,People affected are located in the relocation camps , ,,
FLOOD, TANA-RIVER,25/05/2010, Miyesa, , , ,136,, ,876,,,,,,,,,,,,DR-2009-000197-KEN ,People affected are located in the relocation camps , ,,
FLOOD, TANA-RIVER,25/05/2010, Ngumo, , , ,39,, ,212,,,,,,,,,,,,DR-2009-000197-KEN ,People affected are located in the relocation camps , ,,
FLOOD, TANA-RIVER,25/05/2010, Eskedek, , , ,60,, ,455,,,,,,,,,,,,DR-2009-000197-KEN ,People affected are located in the relocation camps , ,,
FLOOD, TANA-RIVER,25/05/2010, Kokan Farm, , , ,112,, ,711,,,,,,,,,,,,DR-2009-000197-KEN ,People affected are located in the relocation camps , ,,
FLOOD, TANA-RIVER,25/05/2010, Tawakal, , , ,107,, ,678,,,,,,,,,,,,DR-2009-000197-KEN ,People affected are located in the relocation camps , ,,
FLOOD, TANA-RIVER,25/05/2010, Kiambeni, , , ,172,, ,915,, ,,,,,,,,,,DR-2009-000197-KEN ,People affected are located in the relocation camps , ,,
FLOOD, KIAMBU,16/05/2010, Kwari Village, , , ,2, , ,,, ,,, ,, ,,,, ,FL-2010-000047-KEN , , ,,
FLOOD, LAIKIPIA,25/04/2010, Timau, , , ,10,20, ,,,,,,,,,,,,,FL-2010-000047-KEN , , ,,
FLOOD, TANA-RIVER,21/05/2010, Kiendeni Village, , , ,30,, ,,,,,,,,18,,,,,FL-2010-000003-KEN , , ,,
FLOOD, MURANGA,04/04/2010, Thangira,1, , ,2, , ,,,,,, , ,,,,, ,FL-2010-000047-KEN ,Two houses were submerged in flood waters , ,,
FLOOD, KILIFI,22/05/2010, Mtwapa Village, , , ,354,, ,,,,,,,,,,,,,FL-2010-000047-KEN , , ,,
FLOOD, TANA-RIVER,21/05/2010, Safeje, , , ,,, ,,,,,,,,,,,,,FL-2010-000047-KEN , , ,,
FLOOD, TANA-RIVER,21/03/2010, Holo Village - Hilima, , , ,25,, ,70,,,,,,,,,,,,FL-2010-000047-KEN , , ,,
FLOOD, KILIFI,21/03/2010, Malindi, , , ,97,66, ,365,,,,,,,,,,,,FL-2010-000047-KEN , , ,,
FLOOD, TANA-RIVER,21/03/2010, Chwele, , , ,,, ,,,,,,,,,,,,,FL-2010-000047-KEN , , ,,
FLOOD, TANA-RIVER,21/03/2010, Nanigi, , , ,,, ,,,,,,,,,,,,,FL-2010-000047-KEN , , ,,
FLOOD, TRANS-NZOIA,23/05/2010, Laipo village, , , ,,, ,,,,,,,,,,,,,FL-2010-000047-KEN , , ,,
FLOOD, TRANS-NZOIA,23/05/2010, Namanjalala, , , ,,, ,,,,,,,,,,,,,DR-2009-000197-KEN , , ,,
FLOOD, NAKURU,02/03/2010, Rhoda area,3, , , , , , , , ,,, , , ,,,, , , , ,,
FLOOD, KISII,22/05/2010, Soneka location, , , , ,15, , ,,,,, , , ,,,, , ,water seeping into the houses from underground. , ,,
FLOOD, KISUMU,11/05/2010, , , , ,100, , , , , ,,, , , ,,,,, , , ,,
FLOOD, HOMA BAY,06/05/2010, River Arujo,2, , , , , , , , ,,, , , ,,,, , , , ,,
FLOOD, HOMA BAY,25/04/2010, , , , ,6, , , , , ,,, , , ,,,, , , , ,,
FLOOD, TRANS-NZOIA,10/03/2010, Namanjala location, , , , , , , , , ,,, , , ,,,, , , , ,,
FLOOD, NAIROBI,20/04/2010, , , , , ,300, , , , ,,, , , ,,,, , , , ,,
FLOOD, SAMBURU,02/05/2010, Maralal,1, , , , , , , , ,,, , , ,,,, , , , ,,
FLOOD, MARSABIT,20/04/2010, Sachana, , , , , , , , , ,,, , , ,,,, , , , ,,
FLOOD, MARSABIT,27/04/2010, Kati, , , , , , , , , ,,, , , ,,,, , , , ,,
FLOOD, MARSABIT,27/04/2010, Sololo, , , , , , , , , ,,, , , ,,,, , , , ,,
FLOOD, ISIOLO,20/04/2010, Nyambera, , , , , , , , , ,,, , , ,,,, , , , ,,
