|location|date|damage_livelihood|damage_general|people_affected|people_dead|houses_affected|livelihood_affected|infrastructures_affected|infrastructures_mentioned
4754|Luano|||||||||market
4755|Luano|2003-04||||||||school
4756|Zambia|||||||||market
4757|Zambia|July 2005, February 2006|||1232661 |||||
4758|Zambia|July 2005, February 2006|||2100 |||||
4759|Chibombo||||50000 |||||
4760|Petauke||||50000 |||||
4761|Zambia|of 2005||||||||markets
4762|Zambia|of 2005||||||||markets
4763|Zambia|of 2005||||||||markets
4764|Zambia|of 2005||||||||markets
4765|Petauke|||||||||school
4766|Zambia|||||||||dams
4767|Zambia|||||||||dams
4768|Zambia|2003/04, on of 10.11, 10/, 11/, 12/ To|||10000000 |||||
4769|Zambia|2003/04, on of 10.11, 10/, 11/, 12/ To||||||||market
4770|Zambia|2003/04, on of 10.11, 10/, 11/, 12/ To||||||||market
4771|Zambia|2003/04, on of 10.11, 10/, 11/, 12/ To||||||||market
4772|Zambia|2009, 2010||||||||Road
4773|Zambia|||||||||roads
4774|Zambia|||||||||roads
4775|Zambia|||||||||bridges
4776|Zambia|||||||||bridges
4777|Zambia|||||||||school
4778|Zambia|||||||||schools
4779|Zambia|||||||||schools
4780|Zambia|||||||||school
4781|Zambia|||||||||houses
4782|Zambia|||||||||houses
4783|Zambia|||||||||school
4784|Zambia|||||||||hospital
4785|Zambia|||||||||Bridges
4786|Zambia|||||||||Bridges
4787|Zambia|||||||||embankments
4788|Zambia|||||||||embankments
4789|Zambia|||||||||road
4790|Zambia|||||||||Bridges
4791|Zambia|||||||||Bridges
4792|Zambia|||||||||home
4793|Zambia|||||||||houses
4794|Zambia|||||||||houses
4795|Zambia|||||||||schools
4796|Zambia|||||||||schools
4797|Zambia|||||||||schools
4798|Zambia|||||||||schools
4799|Zambia|||||||||school
4800|Zambia|||||||||school
4801|Zambia|||||||||school
4802|Zambia|||||||||houses
4803|Zambia|||||||||houses
4804|Zambia|||||||||schools
4805|Zambia|||||||||schools
4806|Zambia|||||||||schools
4807|Zambia|||||||||schools
4808|Zambia|||||||||schools
4809|Zambia|||||||||schools
4810|Zambia|||||||||school
4811|Zambia|||||||||school
4812|Zambia|||||||||school
4813|Zambia|||||||||hospital
4814|Zambia|||||||||houses
4815|Zambia|||||||||houses
4816|Zambia|2009/10||||||||School
4817|Zambia|2009/10||||||||schools
4818|Zambia|2009/10||||||||schools
4819|Zambia|||||||||school
4820|Zambia|||||||||school
4821|Zambia|||||||||houses
4822|Zambia|||||||||houses
4823|Zambia|||||||||schools
4824|Zambia|||||||||schools
4825|Zambia|||||||||train
4826|Zambia|||||||||school
4827|Zambia|||||||||school
4828|Zambia|||||||||schools
4829|Zambia|||||||||schools
4830|Zambia|||||||||school
