RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE	DISPLAY	NAME_RANK	NAME_LINK	TRANSL_CD	NM_MODIFY_DATE	F_EFCTV_DT	F_TERM_DT
1	6331439	6543039	16.243471	-2.222979	16:14:36N	2:13:23W	30QWC8303596025	NE30-15	L	LCTY		ML	08				N				TINASSEYFI	Ti-n-Asseyfi	Ti-n-Asseyfi	TINASSEYFI	Ti-n-Asseyfi	Ti-n-Asseyfi		2009-10-14	1,2,3,4	1			1993-09-01		
1	6331442	6543042	16.175157	-2.316481	16:10:31N	2:18:59W	30QWC7306888432	NE30-15	L	LCTY		ML	08				N				TINABA	Ti-n-Aba	Ti-n-Aba	TINABA	Ti-n-Aba	Ti-n-Aba		2009-10-14	1,2,3,4	1			1993-09-01		
1	6331444	6543044	16.119771	-2.198665	16:07:11N	2:11:55W	30QWC8568782350	NE30-15	L	AREA		ML	08				N				TINTIDAHAN	Ti-n-Tidahan	Ti-n-Tidahan	TINTIDAHAN	Ti-n-Tidahan	Ti-n-Tidahan		2009-10-14	1,2,3,4	1			1993-09-01		
1	6331446	6543046	16.095647	-2.317312	16:05:44N	2:19:02W	30QWC7300879636	NE30-15	L	AREA		ML	08				N				TABARAK	Tabarak	Tabarak	TABARAK	Tabarak	Tabarak		2009-10-14	1,2,3,4	1			1993-09-01		
1	6331448	6543048	16.210136	-2.441609	16:12:36N	2:26:30W	30QWC5968192261	NE30-15	L	LCTY		ML	08				N				ATABA	Ataba	Ataba	ATABA	Ataba	Ataba		2009-10-14	1,2,3,4	1			1993-09-01		
1	6331450	6543050	16.126	-2.489175	16:07:34N	2:29:21W	30QWC5462082941	NE30-15	L	LCTY		ML	08				N				OULEDNEBIS	Oulèd Nébis	Ouled Nebis	OULEDNEBIS	Oulèd Nébis	Ouled Nebis		2009-10-14	1,2,3,4	1			1993-09-01		
1	6331477	6543077	16.101845	-2.919586	16:06:07N	2:55:11W	30QWC0859980203	NE30-15	L	LCTY		ML	08				N				DYALALAOUAL	Dyalalaoual	Dyalalaoual	DYALALAOUAL	Dyalalaoual	Dyalalaoual		2009-10-14	1,2,3,4	1			1993-09-01		
1	6331478	6543078	16.114768	-2.916521	16:06:53N	2:54:59W	30QWC0892681632	NE30-15	L	LCTY		ML	08				N				TINATAOUEL	Ti-n-Ataouel	Ti-n-Ataouel	TINATAOUEL	Ti-n-Ataouel	Ti-n-Ataouel		2009-10-14	1,2,3,4	1			1993-09-01		
1	6331481	6543081	16.183927	-2.94474	16:11:02N	2:56:41W	30QWC0590789281	NE30-15	L	LCTY		ML	08				N				KAPENA	Kapéna	Kapena	KAPENA	Kapéna	Kapena		2009-10-14	1,2,3,4	1			1993-09-01		
1	6331489	6543089	16.416943	-2.982463	16:25:01N	2:58:57W	30QWD0187215056	NE30-15	L	LCTY		ML	08				N				ALAKAT	Alakat	Alakat	ALAKAT	Alakat	Alakat		2009-10-14	1,2,3,4	1			1993-09-01		
1	6331492	6543092	16.456203	-2.886157	16:27:22N	2:53:10W	30QWD1215219403	NE30-15	L	LCTY		ML	08				N				TIRSEN	Tirsèn	Tirsen	TIRSEN	Tirsèn	Tirsen		2009-10-14	1,2,3,4	1			1993-09-01		
1	-1065200	-1581482	14.9591	-6.4498	14:57:33N	6:26:59W	29PQS7429755379	ND29-08	L	LCTY		ML	05				N				BERIKOULOULDWICHE	Bérikoul Ould Wiché	Berikoul Ould Wiche	BERIKOULOULDWICHE	Bérikoul Ould Wiché	Berikoul Ould Wiche		2008-11-17	1,2,3,4,5	1			2008-11-17		
1	-1065200	-1581481	14.9591	-6.4498	14:57:33N	6:26:59W	29PQS7429755379	ND29-08	L	LCTY		ML	05				V				BERIKOULJOULDQUICHE	Bérikoulj Ould Quiché	Berikoulj Ould Quiche	BERIKOULJOULDQUICHE	Bérikoulj Ould Quiché	Berikoulj Ould Quiche		2008-11-17	1,2,3,4,5				2008-11-17		
3	6331460	6543060	16.017323	-2.567443	16:01:02N	2:34:03W	30QWC4627670900	NE30-15	L	LCTY		ML	08				N				TAMARAKI	Tamaraki	Tamaraki	TAMARAKI	Tamaraki	Tamaraki		2009-10-14	1,2,3,4	1			1993-09-01		
1	6331465	6543065	16.815843	-2.095639	16:48:57N	2:05:44W	30QWD9636059403	NE30-15	L	LCTY		ML	08				N				NTEBENTGUINDESIISSA	Ntébent Guindé Siissa	Ntebent Guinde Siissa	NTEBENTGUINDESIISSA	Ntébent Guindé Siissa	Ntebent Guinde Siissa		2009-10-14	1,2,3,4	1			1993-09-01		
1	6331469	6543069	16.228176	-2.860621	16:13:41N	2:51:38W	30QWC1489594180	NE30-15	L	LCTY		ML	08				N				TINBABOU	Ti-n-Babou	Ti-n-Babou	TINBABOU	Ti-n-Babou	Ti-n-Babou		2009-10-14	1,2,3,4	1			1993-09-01		
